"","event_name","Date","Tickets","Season","Game_Number","Day","effective_day","O_Team","Time_Type2","Month","Weekend","School","start_of_homestand","end_of_homestand","Opening_Day","Holiday","Fourth_of_july","Final_Game","BobbleHead","replica","Day_In_Homestand","star_wars","concert","christian_concert","playoff_odds","delete","afternoon_weekday","afternoon_weekend","Week","weighted_odds","first_homestand","Time_Type"
"53","EZBB0801",2018-08-13,16049,2018,57,"MON","MON","Miami Marlins",3,"Aug",0,1,0,0,0,0,0,0,0,0,4,0,0,0,50,0,0,0,33,2850,0,5
"54","EZBB0810",2018-08-10,36519,2018,54,"FRI","FRI","Milwaukee Brewers",3,"Aug",1,1,1,0,0,0,0,0,0,1,1,0,0,0,41,0,0,0,32,2214,0,3
"55","EZBB0811",2018-08-11,40297,2018,55,"SAT","SAT","Milwaukee Brewers",3,"Aug",1,1,0,0,0,0,0,0,0,0,2,0,0,0,49,0,0,0,32,2695,0,3
"56","EZBB0812",2018-08-12,25360,2018,56,"SUN","SUN","Milwaukee Brewers",1,"Aug",1,1,0,0,0,0,0,0,0,0,3,0,0,0,43,1,0,1,32,2408,0,1
"57","EZBB0813",2018-08-13,18186,2018,57,"MON","MON","Miami Marlins",3,"Aug",0,1,0,0,0,0,0,0,0,0,4,0,0,0,50,0,0,0,33,2850,0,5
"58","EZBB0814",2018-08-14,19409,2018,58,"TUE","TUE","Miami Marlins",3,"Aug",0,1,0,0,0,0,0,0,0,0,5,0,0,0,60,0,0,0,33,3480,0,5
"59","EZBB0815",2018-08-15,19045,2018,59,"WED","WED","Miami Marlins",3,"Aug",0,1,0,0,0,0,0,0,0,0,6,0,0,0,66,0,0,0,33,3894,0,5
"60","EZBB0816",2018-08-16,23428,2018,60,"THU","THU","Colorado Rockies",3,"Aug",0,1,0,0,0,0,0,0,0,0,7,0,0,0,71,0,0,0,33,4260,0,5
"61","EZBB0817",2018-08-17,28964,2018,61,"FRI","FRI","Colorado Rockies",3,"Aug",1,1,0,0,0,0,0,0,0,0,8,0,0,0,65,0,0,0,33,3965,0,3
"62","EZBB0818",2018-08-18,42143,2018,62,"SAT","SAT","Colorado Rockies",3,"Aug",1,1,0,0,0,0,0,0,1,0,9,0,0,0,57,0,0,0,33,3534,0,3
"63","EZBB0819",2018-08-19,33942,2018,63,"SUN","SUN","Colorado Rockies",1,"Aug",1,1,0,1,0,0,0,0,0,0,10,0,0,1,55,0,0,1,33,3465,0,1
"64","EZBB0828",2018-08-28,21216,2018,64,"TUE","TUE","Tampa Bay Rays",3,"Aug",0,1,1,0,0,0,0,0,0,0,1,0,0,0,70,0,0,0,35,4480,0,5
"65","EZBB0829",2018-08-29,20876,2018,65,"WED","WED","Tampa Bay Rays",3,"Aug",0,1,0,0,0,0,0,0,0,0,2,0,0,0,76,0,0,0,35,4940,0,5
"66","EZBB0831",2018-08-31,36650,2018,66,"FRI","FRI","Pittsburgh Pirates",3,"Aug",1,1,0,0,0,0,0,0,0,0,3,0,1,0,67,0,0,0,35,4422,0,3
"67","EZBB0901",2018-09-01,33705,2018,67,"SAT","SAT","Pittsburgh Pirates",3,"Sep",1,1,0,0,0,0,0,0,0,0,4,0,0,0,57,0,0,0,35,3819,0,3
"68","EZBB0902",2018-09-02,37475,2018,68,"SUN","SAT","Pittsburgh Pirates",2,"Sep",1,1,0,0,0,0,0,0,0,0,5,0,0,0,67,0,0,1,35,4556,0,2
"69","EZBB0903",2018-09-03,40394,2018,69,"SUN","SUN","Boston Red Sox",1,"Sep",0,1,0,0,0,0,0,0,0,0,6,0,0,0,75,0,1,0,36,5175,0,4
"70","EZBB0904",2018-09-04,35333,2018,70,"TUE","TUE","Boston Red Sox",3,"Sep",0,1,0,0,0,0,0,0,1,0,7,0,0,0,75,0,0,0,36,5250,0,5
"71","EZBB0905",2018-09-05,28386,2018,71,"WED","WED","Boston Red Sox",1,"Sep",0,1,0,1,0,0,0,0,0,0,8,0,0,0,69,0,1,0,36,4899,0,4
"72","EZBB0914",2018-09-14,39268,2018,72,"FRI","FRI","Washington Nationals",3,"Sep",1,1,1,0,0,0,0,0,0,0,1,0,0,0,97,0,0,0,37,6984,0,3
"73","EZBB0915",2018-09-15,36050,2018,73,"SAT","SAT","Washington Nationals",3,"Sep",1,1,0,0,0,0,0,0,1,0,2,0,0,0,98,0,0,0,37,7154,0,3
"74","EZBB0916",2018-09-16,33403,2018,74,"SUN","SUN","Washington Nationals",1,"Sep",1,1,0,0,0,0,0,0,0,0,3,0,0,0,97,0,0,1,37,7178,0,1
"75","EZBB0917",2018-09-17,24304,2018,75,"MON","MON","St. Louis Cardinals",3,"Sep",0,1,0,0,0,0,0,0,0,0,4,0,0,0,97,0,0,0,38,7275,0,5
"76","EZBB0918",2018-09-18,23083,2018,76,"TUE","TUE","St. Louis Cardinals",3,"Sep",0,1,0,0,0,0,0,0,0,0,5,0,0,0,98,0,0,0,38,7448,0,5
"77","EZBB0919",2018-09-19,25195,2018,77,"WED","WED","St. Louis Cardinals",1,"Sep",0,1,0,0,0,0,0,0,0,0,6,0,0,0,96,0,1,0,38,7392,0,4
"78","EZBB0920",2018-09-20,27474,2018,78,"THU","THU","Philadelphia Phillies",3,"Sep",0,1,0,0,0,0,0,0,0,0,7,0,0,0,96,0,0,0,38,7488,0,5
"79","EZBB0921",2018-09-21,34370,2018,79,"FRI","FRI","Philadelphia Phillies",3,"Sep",1,1,0,0,0,0,0,0,0,0,8,0,0,0,99,0,0,0,38,7821,0,3
"80","EZBB0922",2018-09-22,35616,2018,80,"SAT","SAT","Philadelphia Phillies",3,"Sep",1,1,0,0,0,0,0,0,0,0,9,0,0,0,100,0,0,0,38,8000,0,3
"81","EZBB0923",2018-09-23,34214,2018,81,"SUN","SUN","Philadelphia Phillies",1,"Sep",1,1,0,1,0,0,0,1,0,0,10,0,0,0,100,0,0,1,38,8100,0,1
"82","EXBB0401",2019-04-01,41912,2019,1,"MON","MON","Chicago Cubs",3,"Apr",0,1,1,0,1,0,0,0,0,0,1,0,0,0,26,0,0,0,14,26,1,5
"83","EXBB0403",2019-04-03,37398,2019,2,"WED","WED","Chicago Cubs",3,"Apr",0,1,0,0,0,0,0,0,0,0,2,0,0,0,31,0,0,0,14,62,1,5
"84","EXBB0404",2019-04-04,33815,2019,3,"THU","THU","Chicago Cubs",3,"Apr",0,1,0,0,0,0,0,0,0,0,3,0,0,0,34,0,0,0,14,102,1,5
"85","EXBB0405",2019-04-05,29218,2019,4,"FRI","FRI","Miami Marlins",3,"Apr",1,1,0,0,0,0,0,0,0,0,4,0,0,0,37,0,0,0,14,148,1,3
"86","EXBB0406",2019-04-06,35618,2019,5,"SAT","SAT","Miami Marlins",3,"Apr",1,1,0,0,0,0,0,0,0,0,5,0,0,0,34,0,0,0,14,170,1,3
"87","EXBB0407",2019-04-07,32551,2019,6,"SUN","SUN","Miami Marlins",1,"Apr",1,1,0,1,0,0,0,0,0,0,6,0,0,0,35,0,0,1,14,210,1,1
"88","EXBB0411",2019-04-11,24015,2019,7,"THU","THU","New York Mets",3,"Apr",0,1,1,0,0,0,0,0,0,0,1,0,0,0,39,0,0,0,15,273,0,5
"89","EXBB0412",2019-04-12,33334,2019,8,"FRI","FRI","New York Mets",3,"Apr",1,1,0,0,0,0,0,0,0,0,2,0,0,0,35,0,0,0,15,280,0,3
"90","EXBB0413",2019-04-13,40117,2019,9,"SAT","SAT","New York Mets",3,"Apr",1,1,0,0,0,0,0,0,0,0,3,0,0,0,37,0,0,0,15,333,0,3
"91","EXBB0414",2019-04-14,23385,2019,10,"SUN","SUN","New York Mets",3,"Apr",1,1,0,0,0,0,0,0,0,0,4,0,0,0,43,0,0,0,15,430,0,5
"92","EXBB0416",2019-04-16,22407,2019,11,"TUE","TUE","Arizona Diamondbacks",3,"Apr",0,1,0,0,0,0,0,0,0,0,5,0,0,0,42,0,0,0,16,462,0,5
"93","EXBB0417",2019-04-17,22356,2019,12,"WED","WED","Arizona Diamondbacks",3,"Apr",0,1,0,0,0,0,0,0,0,0,6,0,0,0,37,0,0,0,16,444,0,5
"94","EXBB0418",2019-04-18,24193,2019,13,"THU","THU","Arizona Diamondbacks",1,"Apr",0,1,0,1,0,0,0,0,0,0,7,0,0,0,34,0,1,0,16,442,0,4
"95","EXBB0426",2019-04-26,40282,2019,14,"FRI","FRI","Colorado Rockies",3,"Apr",1,1,1,0,0,0,0,0,1,0,1,0,0,0,37,0,0,0,17,518,0,3
"96","EXBB0427",2019-04-27,38243,2019,15,"SAT","SAT","Colorado Rockies",3,"Apr",1,1,0,0,0,0,0,0,0,0,2,0,0,0,34,0,0,0,17,510,0,3
"97","EXBB0428",2019-04-28,33919,2019,16,"SUN","SUN","Colorado Rockies",1,"Apr",1,1,0,0,0,0,0,0,0,0,3,0,0,0,35,0,0,1,17,560,0,1
"98","EXBB0429",2019-04-29,19353,2019,17,"MON","MON","San Diego Padres",3,"Apr",0,1,0,0,0,0,0,0,0,0,4,0,0,0,40,0,0,0,18,680,0,5
"99","EXBB0430",2019-04-30,18626,2019,18,"TUE","TUE","San Diego Padres",3,"Apr",0,1,0,0,0,0,0,0,0,0,5,0,0,0,36,0,0,0,18,648,0,5
"100","EXBB0501",2019-05-01,20394,2019,19,"WED","WED","San Diego Padres",3,"May",0,1,0,0,0,0,0,0,0,0,6,0,0,0,35,0,0,0,18,665,0,5
"101","EXBB0502",2019-05-02,23746,2019,20,"THU","THU","San Diego Padres",1,"May",0,1,0,1,0,0,0,0,0,0,7,0,0,0,36,0,1,0,18,720,0,4
"102","EXBB0514",2019-05-14,23718,2019,21,"TUE","TUE","St. Louis Cardinals",3,"May",0,1,1,0,0,0,0,0,0,0,1,0,0,0,33,0,0,0,20,693,0,5
"103","EXBB0515",2019-05-15,23367,2019,22,"WED","WED","St. Louis Cardinals",3,"May",0,1,0,0,0,0,0,0,0,0,2,0,0,0,38,0,0,0,20,836,0,5
"104","EXBB0516",2019-05-16,28783,2019,23,"THU","THU","St. Louis Cardinals",3,"May",0,1,0,0,0,0,0,0,1,0,3,0,0,0,46,0,0,0,20,1058,0,5
"105","EXBB0517",2019-05-17,36222,2019,24,"FRI","FRI","Milwaukee Brewers",3,"May",1,1,0,0,0,0,0,0,0,0,4,1,0,0,49,0,0,0,20,1176,0,3
"106","EXBB0518",2019-05-18,39121,2019,25,"SAT","SAT","Milwaukee Brewers",3,"May",1,1,0,0,0,0,0,0,0,0,5,0,0,0,55,0,0,0,20,1375,0,3
"107","EXBB0519",2019-05-19,36548,2019,26,"SUN","SUN","Milwaukee Brewers",1,"May",1,1,0,1,0,0,0,0,0,0,6,0,0,0,53,0,0,1,20,1378,0,1
"108","EXBB0528",2019-05-28,27573,2019,27,"TUE","TUE","Washington Nationals",3,"May",0,0,1,0,0,0,0,0,0,0,1,0,0,0,62,0,0,0,22,1674,0,5
"109","EXBB0529",2019-05-29,37726,2019,28,"WED","WED","Washington Nationals",3,"May",0,0,0,0,0,0,0,0,0,0,2,0,0,0,57,1,0,0,22,1596,0,5
"110","EXBB0531",2019-05-31,35524,2019,29,"FRI","FRI","Detroit Tigers",3,"May",1,0,0,0,0,0,0,0,0,0,3,0,0,0,53,0,0,0,22,1537,0,3
"111","EXBB0601",2019-06-01,37108,2019,30,"SAT","SAT","Detroit Tigers",2,"Jun",1,0,0,0,0,0,0,0,0,0,4,0,0,0,57,0,0,1,22,1710,0,2
"112","EXBB0602",2019-06-02,28978,2019,31,"SUN","SUN","Detroit Tigers",1,"Jun",1,0,0,1,0,0,0,0,0,0,5,0,0,0,60,0,0,1,22,1860,0,1
"113","EXBB0610",2019-06-10,21822,2019,32,"MON","MON","Pittsburgh Pirates",3,"Jun",0,0,1,0,0,0,0,0,0,0,1,0,0,0,69,0,0,0,24,2208,0,5
"114","EXBB0611",2019-06-11,31305,2019,33,"TUE","TUE","Pittsburgh Pirates",3,"Jun",0,0,0,0,0,0,0,0,1,0,2,0,0,0,74,0,0,0,24,2442,0,5
"115","EXBB0612",2019-06-12,24428,2019,34,"WED","WED","Pittsburgh Pirates",3,"Jun",0,0,0,0,0,0,0,0,0,0,3,0,0,0,77,0,0,0,24,2618,0,5
"116","EXBB0613",2019-06-13,35108,2019,35,"THU","THU","Pittsburgh Pirates",1,"Jun",0,0,0,0,0,0,0,0,0,0,4,0,0,0,80,0,1,0,24,2800,0,4
"117","EXBB0614",2019-06-14,41975,2019,36,"FRI","FRI","Philadelphia Phillies",3,"Jun",1,0,0,0,0,0,0,0,0,0,5,0,0,0,83,0,0,0,24,2988,0,3
"118","EXBB0615",2019-06-15,43593,2019,37,"SAT","SAT","Philadelphia Phillies",3,"Jun",1,0,0,0,0,0,0,0,0,0,6,0,0,0,81,0,0,0,24,2997,0,3
"119","EXBB0616",2019-06-16,40855,2019,38,"SUN","SUN","Philadelphia Phillies",1,"Jun",1,0,0,0,0,0,0,0,0,0,7,0,0,0,84,0,0,1,24,3192,0,1
"120","EXBB0617",2019-06-17,24660,2019,39,"MON","MON","New York Mets",3,"Jun",0,0,0,0,0,0,0,0,0,0,8,0,0,0,87,0,0,0,25,3393,0,5
"121","EXBB0618",2019-06-18,24971,2019,40,"TUE","TUE","New York Mets",3,"Jun",0,0,0,0,0,0,0,0,0,0,9,0,0,0,86,0,0,0,25,3440,0,5
"122","EXBB0619",2019-06-19,37104,2019,41,"WED","WED","New York Mets",3,"Jun",0,0,0,1,0,0,0,0,1,0,10,0,0,0,88,0,0,0,25,3608,0,5
"123","EXBB0702",2019-07-02,40180,2019,42,"TUE","TUE","Philadelphia Phillies",3,"Jul",0,0,1,0,0,0,0,0,0,0,1,0,0,0,93,0,0,0,27,3906,0,5
"124","EXBB0703",2019-07-03,40147,2019,43,"WED","WED","Philadelphia Phillies",3,"Jul",0,0,0,0,0,0,0,0,0,0,2,0,0,0,94,0,0,0,27,4042,0,5
"125","EXBB0704",2019-07-04,40633,2019,44,"THU","THU","Philadelphia Phillies",3,"Jul",0,0,0,0,0,0,1,0,0,0,3,0,0,0,96,0,0,0,27,4224,0,5
"126","EXBB0705",2019-07-05,41102,2019,45,"FRI","FRI","Miami Marlins",3,"Jul",1,0,0,0,0,0,0,0,1,0,4,0,0,0,96,0,0,0,27,4320,0,3
"127","EXBB0706",2019-07-06,37216,2019,46,"SAT","SAT","Miami Marlins",2,"Jul",1,0,0,0,0,0,0,0,0,0,5,0,1,0,96,1,0,1,27,4416,0,2
"128","EXBB0707",2019-07-07,30514,2019,47,"SUN","SUN","Miami Marlins",1,"Jul",1,0,0,1,0,0,0,0,0,0,6,0,0,0,97,0,0,1,27,4559,0,1
"129","EXBB0718",2019-07-18,39363,2019,48,"THU","THU","Washington Nationals",3,"Jul",0,0,1,0,0,0,0,0,0,0,1,0,0,1,97,0,0,0,29,4656,0,5
"130","EXBB0719",2019-07-19,39344,2019,49,"FRI","FRI","Washington Nationals",3,"Jul",1,0,0,0,0,0,0,0,0,0,2,0,0,0,98,0,0,0,29,4802,0,3
"131","EXBB0720",2019-07-20,42467,2019,50,"SAT","SAT","Washington Nationals",3,"Jul",1,0,0,0,0,0,0,0,0,0,3,0,0,0,98,0,0,0,29,4900,0,3
"132","EXBB0721",2019-07-21,31848,2019,51,"SUN","SUN","Washington Nationals",1,"Jul",1,0,0,0,0,0,0,0,0,0,4,0,0,0,98,0,0,1,29,4998,0,1
"133","EXBB0723",2019-07-23,36570,2019,52,"TUE","TUE","Kansas City Royals",3,"Jul",0,0,0,0,0,0,0,0,1,0,5,0,0,0,98,0,0,0,30,5096,0,5
"134","EXBB0724",2019-07-24,38865,2019,53,"WED","WED","Kansas City Royals",3,"Jul",0,0,0,1,0,0,0,0,1,0,6,0,0,0,97,0,0,0,30,5141,0,5
"135","EXBB0801",2019-08-01,28677,2019,54,"THU","THU","Cincinnati Reds",3,"Aug",0,0,1,0,0,0,0,0,0,0,1,0,0,0,99,0,0,0,31,5346,0,5
"136","EXBB0802",2019-08-02,37743,2019,55,"FRI","FRI","Cincinnati Reds",3,"Aug",1,0,0,0,0,0,0,0,0,0,2,0,0,0,99,0,0,0,31,5445,0,3
